year,rank,artist,artist_normalized,has_spotify_match,artist_followers_max,artist_popularity_max,explicit_track_share,mean_track_duration_min,n_tracks_in_dataset,n_tracks_released_in_chart_year,primary_genre,spotify_display_name,track_popularity_max,track_popularity_mean,track_popularity_mean_in_chart_year,track_popularity_min
2017,67,daddy yankee,daddy yankee,True,37813429.0,85.0,0.0,3.275,2.0,,reggaeton,Daddy Yankee,69.0,37.5,,6.0
2017,68,camila cabello,camila cabello,True,35582423.0,78.0,0.0,3.382,20.0,3.0,,Camila Cabello,79.0,55.5,38.0,3.0
2017,69,liam payne,liam payne,True,10241850.0,62.0,0.0,3.38,2.0,1.0,,Liam Payne,68.0,65.5,63.0,63.0
2017,70,calvin harris,calvin harris,True,23079295.0,84.0,0.23809523809523808,3.6533333333333338,21.0,3.0,edm,Calvin Harris,85.0,69.52380952380952,71.33333333333333,3.0
2017,71,blake shelton,blake shelton,True,7507062.0,69.0,0.0,3.62875,8.0,,country,Blake Shelton,66.0,58.25,,36.0
2017,72,zayn,zayn,True,24114464.0,77.0,0.375,3.5774999999999997,8.0,3.0,,ZAYN,81.0,64.5,65.33333333333333,45.0
2017,73,celine dion,celine dion,False,,,,,,,,,,,,
2017,74,luke combs,luke combs,True,13402920.0,83.0,0.0,3.8375,4.0,1.0,country,Luke Combs,82.0,77.25,76.0,75.0
2017,75,julia michaels,julia michaels,True,5292876.0,69.0,0.25,2.9375,4.0,3.0,,Julia Michaels,73.0,50.75,43.333333333333336,0.0
2017,76,sam smith,sam smith,True,26278854.0,81.0,0.0,3.253846153846154,39.0,2.0,soft pop,Sam Smith,85.0,37.58974358974359,0.0,0.0
2017,77,linkin park,linkin park,True,31819030.0,88.0,0.07894736842105263,3.3223684210526314,38.0,3.0,nu metal,Linkin Park,88.0,66.07894736842105,59.0,44.0
2017,78,p!nk,p!nk,True,18208465.0,78.0,0.5714285714285714,3.7085714285714286,14.0,1.0,,P!nk,82.0,49.42857142857143,78.0,0.0
2017,79,jon pardi,jon pardi,True,2339392.0,73.0,0.0,3.404,5.0,,country,Jon Pardi,75.0,50.0,,37.0
2017,80,chance the rapper,chance the rapper,True,6033166.0,74.0,1.0,2.35,1.0,,,Chance the Rapper,60.0,60.0,,60.0
2017,81,bryson tiller,bryson tiller,True,10566213.0,80.0,0.75,3.3425,4.0,,trap soul,Bryson Tiller,83.0,79.0,,76.0
2017,82,quavo,quavo,True,8083202.0,76.0,0.6666666666666666,2.94,3.0,,,Quavo,70.0,61.0,,50.0
2017,83,red hot chili peppers,red hot chili peppers,True,23226759.0,83.0,0.0,4.508888888888889,9.0,,funk rock,Red Hot Chili Peppers,85.0,80.88888888888889,,76.0
2017,84,a boogie wit da hoodie,a boogie wit da hoodie,True,8987309.0,77.0,1.0,2.6633333333333336,3.0,,melodic rap,A Boogie Wit da Hoodie,76.0,74.66666666666667,,73.0
2017,85,eric church,eric church,True,4141160.0,71.0,0.0,3.646,5.0,,country,Eric Church,78.0,60.6,,40.0
2017,86,jason aldean,jason aldean,True,7054208.0,75.0,0.0,3.6281818181818184,11.0,,country,Jason Aldean,76.0,58.81818181818182,,0.0
2017,87,tom petty and the heartbreakers,tom petty and the heartbreakers,False,,,,,,,,,,,,
2017,88,roger waters,roger waters,False,,,,,,,,,,,,
2017,89,portugal. the man,portugal. the man,True,1525079.0,69.0,0.0,3.41,2.0,2.0,,Portugal. The Man,83.0,74.0,74.0,65.0
2017,90,playboi carti,playboi carti,True,15037198.0,86.0,1.0,2.8017777777777777,45.0,1.0,rage rap,Playboi Carti,79.0,64.71111111111111,77.0,56.0
2017,91,billy joel,billy joel,True,7402824.0,78.0,0.0,4.19,3.0,,soft rock,Billy Joel,83.0,81.66666666666667,,79.0
2017,92,john mayer,john mayer,False,,,,,,,,,,,,
2017,93,2 chainz,2 chainz,True,8305217.0,74.0,0.5,4.02,2.0,1.0,rap,2 Chainz,69.0,63.5,58.0,58.0
2017,94,zac brown band,zac brown band,False,,,,,,,,,,,,
2017,95,kesha,kesha,True,9160918.0,78.0,0.0,3.3677777777777775,9.0,,,Kesha,84.0,51.888888888888886,,0.0
2017,96,justin timberlake,justin timberlake,True,15830822.0,82.0,0.3,5.840999999999999,10.0,,,Justin Timberlake,85.0,72.4,,56.0
2017,97,sia,sia,True,30556621.0,82.0,0.0,3.72421052631579,19.0,2.0,,Sia,81.0,68.42105263157895,61.5,51.0
2017,98,jay-z,jay-z,True,10380063.0,82.0,1.0,4.415,10.0,,hip hop,JAY-Z,84.0,53.4,,1.0
2017,99,kane brown,kane brown,True,5778418.0,71.0,0.0,3.2,4.0,2.0,country,Kane Brown,68.0,58.75,59.5,51.0
2017,100,zedd,zedd,True,6111556.0,73.0,0.0,3.6966666666666668,3.0,1.0,edm,Zedd,78.0,77.0,76.0,76.0
